"number";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"FW";29;2577;25;4;4.96;2.24;25.53;7.12;0.89;0.25
2;"Sub";2;46;0;1;7.83;1.96;0.27;0.12;0.53;0.24
